clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz
d__Bacteria	99.81446	99.6656	99.67073	100	99.88692	99.73237	100	100	99.96185	99.70021	99.87651	99.47784	100	99.55709	99.70864	99.77752
d__Archaea	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota	24.69411	29.53507	17.41137	17.96516	19.68975	18.94711	24.24339	25.835	10.2739	29.75565	12.82457	31.1862	20.24726	22.03909	46.42665	26.10951
d__Bacteria|p__Bacillota	46.50086	53.12377	54.07824	54.96877	69.71029	71.66254	58.0811	24.76431	80.16082	37.79814	74.53802	50.39983	53.35675	49.7966	33.66303	59.20197
d__Bacteria|p__Bacillota_A	23.2352	14.00599	23.89229	23.56328	7.3305	7.40246	14.26199	47.73825	8.36345	29.41005	11.74827	14.78248	5.22381	12.95502	10.28673	11.02596
d__Bacteria|p__Actinomycetota	3.46076	1.38264	3.17555	2.05401	1.77054	0.40248	1.85807	0.72467	0.47351	0.97913	0.12695	0.51618	2.57243	0.87377	2.06312	0.46998
d__Bacteria|p__Verrucomicrobiota	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota	1.53057	1.61813	0.82074	0.59291	1.21288	0.8275	1.26967	0.75434	0.05027	0.52756	0.34754	0.84236	18.41155	10.13321	6.52888	1.90974
d__Bacteria|p__Desulfobacterota	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota|c__Bacteroidia	24.69411	29.53507	17.41137	17.96516	19.68975	18.94711	24.24339	25.835	10.2739	29.75565	12.82457	31.1862	20.24726	22.03909	46.42665	26.10951
d__Bacteria|p__Bacillota|c__Bacilli	46.50086	53.12377	54.07824	54.96877	69.71029	71.66254	58.0811	24.76431	80.16082	37.79814	74.53802	50.39983	53.35675	49.7966	33.66303	59.20197
d__Bacteria|p__Bacillota_A|c__Clostridia	23.2352	14.00599	23.89229	23.56328	7.3305	7.40246	14.26199	47.73825	8.36345	29.41005	11.74827	14.78248	5.22381	12.95502	10.28673	11.02596
d__Bacteria|p__Actinomycetota|c__Actinomycetes	1.59737	0.60759	0.2883	0.39634	0.84909	0.40248	0.37051	0.36606	0.16704	0	0.12695	0	0.15562	0	0.4326	0.30356
d__Bacteria|p__Actinomycetota|c__Coriobacteriia	1.8634	0.77505	2.88725	1.65767	0.92145	0	1.48756	0.3586	0.30647	0.97913	0	0.51618	2.41681	0.87377	1.63052	0.16642
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	1.53057	1.61813	0.82074	0.59291	1.21288	0.8275	1.26967	0.75434	0.05027	0.52756	0.34754	0.84236	18.41155	10.13321	6.52888	1.90974
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota|c__Deferribacteres	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota|c__Methanobacteria	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	24.69411	29.53507	17.41137	17.96516	19.68975	18.94711	24.24339	25.835	10.2739	29.75565	12.82457	31.1862	20.24726	22.03909	46.42665	26.10951
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales	46.42809	52.15938	53.12014	54.36291	69.54405	71.02837	57.27619	24.52263	80.13605	37.79814	74.15709	50.03934	53.35675	49.77587	33.64863	59.2
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales	0.07276	0.96439	0.9581	0.60586	0.16624	0.63417	0.80491	0.24169	0.02476	0	0.38093	0.36049	0	0.02073	0.0144	0.00197
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales	19.58383	10.57846	21.8226	22.05752	5.88865	5.48193	12.54294	46.14544	7.60827	25.78898	10.56872	13.50165	4.3433	9.54897	8.04339	10.34923
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales	2.28347	2.99978	1.60828	1.13599	0.87981	1.12806	1.40128	0.5469	0.51888	2.18194	0.8467	0.55874	0.54669	2.8009	1.62293	0.45429
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales	1.00949	0.26265	0.26391	0.20738	0.33568	0.53385	0	1.0459	0.2363	0.98982	0	0.41642	0.23817	0.32443	0	0.09216
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales	0.3584	0.16509	0.1975	0.16239	0.22637	0.25862	0.31776	0	0	0.44931	0.33284	0.30567	0.09566	0.28072	0.6204	0.13029
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	1.59737	0.60759	0.2883	0.39634	0.84909	0.40248	0.37051	0.36606	0.16704	0	0.12695	0	0.15562	0	0.4326	0.30356
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	1.8634	0.77505	2.88725	1.65767	0.92145	0	1.48756	0.3586	0.30647	0.97913	0	0.51618	2.41681	0.87377	1.63052	0.16642
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	0.60718	0.51458	0.16571	0.08929	0	0.06284	0.28299	0.05954	0.05027	0	0.18758	0.37652	2.98936	6.76608	0	0.63175
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales	0.92338	1.10355	0.65504	0.50363	1.21288	0.76466	0.98668	0.69481	0	0.52756	0.15996	0.46584	15.42219	3.36713	6.52888	1.278
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	15.73336	22.43768	6.99841	8.61752	10.12638	6.51087	15.06554	7.22123	5.85296	15.423	6.43944	9.51482	5.29835	6.91681	7.16666	6.825
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	8.81721	4.22609	6.15981	4.71622	9.56337	10.70921	1.61079	16.44393	4.13982	7.43483	4.68107	10.47426	13.79029	10.20405	37.62973	18.19497
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.14353	0.0704	0.08937	0.05251	0	0.08599	0.1462	0	0.02606	0.93992	0.4904	0	0	0	0.26728	0.25555
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0	2.8009	4.16378	4.57892	0	1.64104	7.42086	2.16984	0.25507	5.95791	1.21365	11.19712	1.15862	4.91823	1.36298	0.83398
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	45.99439	51.89094	52.51409	53.1798	69.40661	69.0745	57.27619	24.11537	80.13605	37.33086	73.70801	49.15718	50.94626	44.71665	30.33612	56.74654
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae	0	0.29112	0.7914	0.36856	0.05859	0.45433	0.50246	0.24169	0	0	0.31066	0.2273	0	0.02073	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae	0.07276	0.67327	0.1667	0.2373	0.10765	0.17984	0.30245	0	0.02476	0	0.07027	0.13319	0	0	0.0144	0.00197
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.4337	0.26844	0.60605	1.18312	0.13744	1.95387	0	0.40725	0	0.46728	0.44907	0.88216	2.41049	5.05922	3.31251	2.45346
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	19.58383	10.57846	21.8226	22.05752	5.88865	5.48193	12.54294	46.14544	7.60827	25.78898	10.56872	13.50165	4.3433	9.54897	8.04339	10.34923
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae	1.38697	2.09489	0.41866	0.39473	0.59874	0.58599	0	0.31179	0.2127	0.70641	0.37136	0.32336	0	0.7136	0.54486	0.45429
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae	0.8965	0.90489	1.18962	0.74126	0.28106	0.54207	1.40128	0.23511	0.30618	1.47553	0.47534	0.23538	0.54669	2.08729	1.07807	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae	1.00949	0.26265	0.26391	0.20738	0.33568	0.53385	0	1.0459	0.2363	0.98982	0	0.41642	0.23817	0.32443	0	0.09216
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0.3584	0.16509	0.1975	0.16239	0.22637	0.25862	0.31776	0	0	0.44931	0.33284	0.30567	0.09566	0.28072	0.6204	0.13029
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	1.59737	0.60759	0.2883	0.39634	0.84909	0.40248	0.37051	0.36606	0.16704	0	0.12695	0	0.15562	0	0.4326	0.30356
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	1.8634	0.77505	2.88725	1.65767	0.92145	0	1.48756	0.3586	0.30647	0.97913	0	0.51618	2.41681	0.87377	1.63052	0.16642
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.18468	0	0.08997	0.09463	0.0733	0.24634	0.21115	0	0.05224	0.24262	0	0	0.17496	1.15128	0	0.17985
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.60718	0.51458	0.16571	0.08929	0	0.06284	0.28299	0.05954	0.05027	0	0.18758	0.37652	2.98936	6.76608	0	0.63175
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.92338	1.10355	0.65504	0.50363	1.21288	0.76466	0.98668	0.69481	0	0.52756	0.15996	0.46584	15.42219	3.36713	6.52888	1.278
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae	0.20828	0	0.20256	0.69517	0.09966	0.24395	0.05405	0.18343	0.58765	0.98706	0.26131	1.75079	0	2.57214	0.74022	0.87212
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae	0	0	0	0.06607	0	0	0.02058	0	0	0	0.02986	0	0.01324	0.03598	0	0.00839
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.18554	0.3344	0.32927	0	0.11308	0.26763	0	0	0.03815	0.29979	0.12349	0.52216	0	0.44291	0.29136	0.22248
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	1.56774	2.29266	0.61246	1.49859	0.1048	0	1.34385	0.74053	0.31915	1.49723	0.6077	1.07837	0.23663	0.7138	0	0.35188
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	11.76452	19.45242	3.0765	5.53897	5.47168	4.04925	11.82903	6.10719	2.8957	9.21915	3.85871	6.15737	3.65171	3.20242	6.24755	5.24672
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum	2.4011	0	1.19586	0.7051	0.73785	2.02669	1.1375	0.37351	0.16775	0.80999	0.96498	0.67279	0.60664	0.3597	0.91911	1.2264
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-485	0	0.69259	2.11358	0.87485	3.81205	0.43493	0.75516	0	2.47036	3.89663	1.00804	1.60629	0.80337	2.64089	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1.33223	0.07401	1.56033	2.95951	0.48246	0	0.56904	0.28176	0.95082	2.20082	0.90219	1.99574	9.29026	7.6509	20.76471	15.97318
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	7.48498	4.15208	4.59948	1.75671	9.08091	10.70921	1.04176	16.16217	3.189	5.23401	3.77888	8.47853	4.50002	2.55315	16.86502	2.2218
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.14353	0.0704	0.08937	0.05251	0	0.08599	0.1462	0	0.02606	0.93992	0.4904	0	0	0	0.26728	0.25555
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0	2.8009	4.16378	4.57892	0	1.64104	7.42086	2.16984	0.25507	5.95791	1.21365	11.19712	1.15862	4.91823	1.36298	0.83398
