Gene,Non-unique Gene name,Annotation,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,GCF_000005845.2
core_1,,protein core_1,ISO1_1,ISO2_1,ISO3_1,ISO4_1,ISO5_1,ISO6_1,GCF_000005845.2_1
core_2,,protein core_2,ISO1_2,ISO2_2,ISO3_2,ISO4_2,ISO5_2,ISO6_2,GCF_000005845.2_2
core_3,,protein core_3,ISO1_3,ISO2_3,ISO3_3,ISO4_3,ISO5_3,ISO6_3,GCF_000005845.2_3
core_4,,protein core_4,ISO1_4,ISO2_4,ISO3_4,ISO4_4,ISO5_4,ISO6_4,GCF_000005845.2_4
core_5,,protein core_5,ISO1_5,ISO2_5,ISO3_5,ISO4_5,ISO5_5,ISO6_5,GCF_000005845.2_5
core_6,,protein core_6,ISO1_6,ISO2_6,ISO3_6,ISO4_6,ISO5_6,ISO6_6,GCF_000005845.2_6
core_7,,protein core_7,ISO1_7,ISO2_7,ISO3_7,ISO4_7,ISO5_7,ISO6_7,GCF_000005845.2_7
core_8,,protein core_8,ISO1_8,ISO2_8,ISO3_8,ISO4_8,ISO5_8,ISO6_8,GCF_000005845.2_8
blaCTX_M,,protein blaCTX_M,ISO1_9,ISO2_9,ISO3_9,,,,
tetA,,protein tetA,ISO1_10,,,,,,
sul1,,protein sul1,,ISO2_11,,ISO4_11,,,
phage_int,,protein phage_int,,,,ISO4_12,ISO5_12,ISO6_12,GCF_000005845.2_12
group_1234,,protein group_1234,ISO1_13,,ISO3_13,,ISO5_13,,GCF_000005845.2_13
fimH,,protein fimH,ISO1_14,ISO2_14,ISO3_14,ISO4_14,ISO5_14,ISO6_14,
