"Sample_ID","Name","Source","Year","Exclude"
"ISO01","EC01","Clinical",2021,"no"
"ISO02","EC02","Clinical",2021,"no"
"ISO03","EC03","Clinical",2021,"no"
"ISO04","EC04","Clinical",2022,"no"
"ISO05","EC05","Clinical",2019,"no"
"ISO06","EC06","Clinical",2022,"no"
"ISO07","EC07","Animal",2021,"no"
"ISO08","EC08","Environmental",2019,"no"
"ISO09","EC09","Clinical",2020,"no"
"ISO10","EC10","Clinical",2019,"no"
"ISO11","EC11","Animal",2019,"no"
"ISO12","EC12","Environmental",2021,"no"
"ISO13","EC13","Clinical",2019,"no"
"ISO14","EC14","Animal",2022,"no"
"ISO15","EC15","Animal",2020,"no"
"ISO16","EC16","Environmental",2021,"no"
"ISO17","EC17","Environmental",2023,"no"
"ISO18","EC18","Animal",2023,"no"
"ISO19","EC19","Clinical",2021,"no"
"ISO20","EC20","Environmental",2021,"no"
