clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz	/work/reads/S17.clean_1.fastq.gz	/work/reads/S18.clean_1.fastq.gz	/work/reads/S19.clean_1.fastq.gz	/work/reads/S20.clean_1.fastq.gz	/work/reads/S21.clean_1.fastq.gz	/work/reads/S22.clean_1.fastq.gz	/work/reads/S23.clean_1.fastq.gz	/work/reads/S24.clean_1.fastq.gz
d__Bacteria	99.87135	99.85432	99.90494	99.82509	99.91166	99.88349	99.89435	99.79735	99.95317	99.87767	99.88133	100	99.96829	100	99.98052	99.66131	99.92501	99.60713	99.90306	100	99.96388	100	100	100
d__Archaea	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota	82.09183	89.3148	85.66692	80.21028	88.2096	88.36474	87.84305	84.52889	86.93488	77.98077	77.49027	84.13132	69.86512	78.18542	84.38029	85.78938	75.77993	79.69837	69.33039	64.12865	85.77905	83.18131	73.54407	68.91365
d__Bacteria|p__Bacillota	13.83492	7.6288	9.34603	13.22064	7.34301	5.06189	6.89001	10.91521	6.62794	15.21155	15.91419	11.48858	19.92508	16.68762	10.25818	5.63669	13.42564	13.55918	20.62549	28.41561	6.73054	2.32898	12.87008	20.66843
d__Bacteria|p__Bacillota_A	2.48472	1.47737	1.57508	4.74758	2.00311	2.90474	1.69847	2.61731	2.12006	3.17367	3.31412	2.34954	6.04438	2.81502	2.82738	4.0109	6.11255	3.15019	1.12175	1.01823	0	0.66688	1.48789	0.52306
d__Bacteria|p__Actinomycetota	0.61648	0.48939	1.60722	0.69818	1.71895	1.0511	0.92393	0.44804	1.77602	1.17953	1.66227	0.6067	0	0.49223	0.5216	0.51373	0.74992	1.0687	0	0.12808	0.34465	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota	0.15149	0.64433	1.01408	0.86857	0.41791	1.06323	1.9294	0.63117	1.10314	1.0464	0.71852	0.25809	1.05475	0.4202	1.28463	0.196	1.3503	0.85862	6.13351	2.72273	3.32899	7.74934	5.09093	4.78257
d__Bacteria|p__Desulfobacterota	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia	82.09183	89.3148	85.66692	80.21028	88.2096	88.36474	87.84305	84.52889	86.93488	77.98077	77.49027	84.13132	69.86512	78.18542	84.38029	85.78938	75.77993	79.69837	69.33039	64.12865	85.77905	83.18131	73.54407	68.91365
d__Bacteria|p__Bacillota|c__Bacilli	13.83492	7.6288	9.34603	13.22064	7.34301	5.06189	6.89001	10.91521	6.62794	15.21155	15.91419	11.48858	19.92508	16.68762	10.25818	5.63669	13.42564	13.55918	20.62549	28.41561	6.73054	2.32898	12.87008	20.66843
d__Bacteria|p__Bacillota_A|c__Clostridia	2.48472	1.47737	1.57508	4.74758	2.00311	2.90474	1.69847	2.61731	2.12006	3.17367	3.31412	2.34954	6.04438	2.81502	2.82738	4.0109	6.11255	3.15019	1.12175	1.01823	0	0.66688	1.48789	0.52306
d__Bacteria|p__Actinomycetota|c__Actinomycetes	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
