"Sample_ID","Name","Treatment","Time","Mouse","Age_weeks","Cage","Exclude"
"S01","Con_M1_W0","Control","Week_0","M1",8,"Cage_1","no"
"S02","Con_M2_W0","Control","Week_0","M2",8,"Cage_1","no"
"S03","Con_M3_W0","Control","Week_0","M3",8,"Cage_1","no"
"S04","Con_M4_W0","Control","Week_0","M4",9,"Cage_2","no"
"S05","Con_M5_W0","Control","Week_0","M5",8,"Cage_2","no"
"S06","Con_M6_W0","Control","Week_0","M6",8,"Cage_2","no"
"S07","Tre_M7_W0","Treated","Week_0","M7",8,"Cage_3","no"
"S08","Tre_M8_W0","Treated","Week_0","M8",9,"Cage_3","no"
"S09","Tre_M9_W0","Treated","Week_0","M9",9,"Cage_3","no"
"S10","Tre_M10_W0","Treated","Week_0","M10",9,"Cage_4","no"
"S11","Tre_M11_W0","Treated","Week_0","M11",8,"Cage_4","no"
"S12","Tre_M12_W0","Treated","Week_0","M12",8,"Cage_4","no"
"S13","Con_M1_W4","Control","Week_4","M1",13,"Cage_1","no"
"S14","Con_M2_W4","Control","Week_4","M2",13,"Cage_1","no"
"S15","Con_M3_W4","Control","Week_4","M3",13,"Cage_1","no"
"S16","Con_M4_W4","Control","Week_4","M4",13,"Cage_2","no"
"S17","Con_M5_W4","Control","Week_4","M5",12,"Cage_2","no"
"S18","Con_M6_W4","Control","Week_4","M6",12,"Cage_2","no"
"S19","Tre_M7_W4","Treated","Week_4","M7",12,"Cage_3","no"
"S20","Tre_M8_W4","Treated","Week_4","M8",13,"Cage_3","no"
"S21","Tre_M9_W4","Treated","Week_4","M9",12,"Cage_3","no"
"S22","Tre_M10_W4","Treated","Week_4","M10",13,"Cage_4","no"
"S23","Tre_M11_W4","Treated","Week_4","M11",13,"Cage_4","no"
"S24","Tre_M12_W4","Treated","Week_4","M12",13,"Cage_4","no"
