sample	bacterial_archaeal_bases	metagenome_size	read_fraction	average_bacterial_archaeal_genome_size	warning	domain_relative_abundance
S01_R1	1e+09	1.2e+09	84.15	3200000		1
S02_R1	1e+09	1.2e+09	88.52	3200000		1
S03_R1	1e+09	1.2e+09	91.69	3200000		1
S04_R1	1e+09	1.2e+09	84.28	3200000		1
S05_R1	1e+09	1.2e+09	87.86	3200000		1
S06_R1	1e+09	1.2e+09	89.66	3200000		1
S07_R1	1e+09	1.2e+09	88.79	3200000		1
S08_R1	1e+09	1.2e+09	79.55	3200000		1
S09_R1	1e+09	1.2e+09	93.11	3200000		1
S10_R1	1e+09	1.2e+09	77.32	3200000		1
S11_R1	1e+09	1.2e+09	93.79	3200000		1
S12_R1	1e+09	1.2e+09	85.67	3200000		1
S13_R1	1e+09	1.2e+09	85.55	3200000		1
S14_R1	1e+09	1.2e+09	83.46	3200000		1
S15_R1	1e+09	1.2e+09	85.6	3200000		1
S16_R1	1e+09	1.2e+09	93.26	3200000		1
S17_R1	1e+09	1.2e+09	88.65	3200000		1
S18_R1	1e+09	1.2e+09	82.39	3200000		1
S19_R1	1e+09	1.2e+09	80.5	3200000		1
S20_R1	1e+09	1.2e+09	83.44	3200000		1
S21_R1	1e+09	1.2e+09	93.71	3200000		1
S22_R1	1e+09	1.2e+09	82.54	3200000		1
S23_R1	1e+09	1.2e+09	91.25	3200000		1
S24_R1	1e+09	1.2e+09	80.79	3200000		1
