Sample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method
ISO1	p1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO1	p2	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO2	p3	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO2	p4	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO3	p5	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO4	p6	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO5	p7	contig_1	100	900	+	mdtM	resistance gene	core	AMR	AMR	EFFLUX		EXACTX
ISO6	p8	contig_1	100	900	+	mdtM	resistance gene	core	AMR	AMR	EFFLUX		EXACTX
ISO1	p9	contig_1	100	900	+	qnrS1	resistance gene	core	AMR	AMR	QUINOLONE		EXACTX
ISO2	p10	contig_1	100	900	+	qnrS1	resistance gene	core	AMR	AMR	QUINOLONE		EXACTX
