FILE	EC_locus_0001.fasta	EC_locus_0002.fasta	EC_locus_0003.fasta	EC_locus_0004.fasta	EC_locus_0005.fasta	EC_locus_0006.fasta	EC_locus_0007.fasta	EC_locus_0008.fasta	EC_locus_0009.fasta	EC_locus_0010.fasta	EC_locus_0011.fasta	EC_locus_0012.fasta	EC_locus_0013.fasta	EC_locus_0014.fasta	EC_locus_0015.fasta	EC_locus_0016.fasta	EC_locus_0017.fasta	EC_locus_0018.fasta	EC_locus_0019.fasta	EC_locus_0020.fasta	EC_locus_0021.fasta	EC_locus_0022.fasta	EC_locus_0023.fasta	EC_locus_0024.fasta	EC_locus_0025.fasta	EC_locus_0026.fasta	EC_locus_0027.fasta	EC_locus_0028.fasta	EC_locus_0029.fasta	EC_locus_0030.fasta	EC_locus_0031.fasta	EC_locus_0032.fasta	EC_locus_0033.fasta	EC_locus_0034.fasta	EC_locus_0035.fasta	EC_locus_0036.fasta	EC_locus_0037.fasta	EC_locus_0038.fasta	EC_locus_0039.fasta	EC_locus_0040.fasta	EC_locus_0041.fasta	EC_locus_0042.fasta	EC_locus_0043.fasta	EC_locus_0044.fasta	EC_locus_0045.fasta	EC_locus_0046.fasta	EC_locus_0047.fasta	EC_locus_0048.fasta	EC_locus_0049.fasta	EC_locus_0050.fasta	EC_locus_0051.fasta	EC_locus_0052.fasta	EC_locus_0053.fasta	EC_locus_0054.fasta	EC_locus_0055.fasta	EC_locus_0056.fasta	EC_locus_0057.fasta	EC_locus_0058.fasta	EC_locus_0059.fasta	EC_locus_0060.fasta	EC_locus_0061.fasta	EC_locus_0062.fasta	EC_locus_0063.fasta	EC_locus_0064.fasta	EC_locus_0065.fasta	EC_locus_0066.fasta	EC_locus_0067.fasta	EC_locus_0068.fasta	EC_locus_0069.fasta	EC_locus_0070.fasta	EC_locus_0071.fasta	EC_locus_0072.fasta	EC_locus_0073.fasta	EC_locus_0074.fasta	EC_locus_0075.fasta	EC_locus_0076.fasta	EC_locus_0077.fasta	EC_locus_0078.fasta	EC_locus_0079.fasta	EC_locus_0080.fasta	EC_locus_0081.fasta	EC_locus_0082.fasta	EC_locus_0083.fasta	EC_locus_0084.fasta	EC_locus_0085.fasta	EC_locus_0086.fasta	EC_locus_0087.fasta	EC_locus_0088.fasta	EC_locus_0089.fasta	EC_locus_0090.fasta	EC_locus_0091.fasta	EC_locus_0092.fasta	EC_locus_0093.fasta	EC_locus_0094.fasta	EC_locus_0095.fasta	EC_locus_0096.fasta	EC_locus_0097.fasta	EC_locus_0098.fasta	EC_locus_0099.fasta	EC_locus_0100.fasta	EC_locus_0101.fasta	EC_locus_0102.fasta	EC_locus_0103.fasta	EC_locus_0104.fasta	EC_locus_0105.fasta	EC_locus_0106.fasta	EC_locus_0107.fasta	EC_locus_0108.fasta	EC_locus_0109.fasta	EC_locus_0110.fasta	EC_locus_0111.fasta	EC_locus_0112.fasta	EC_locus_0113.fasta	EC_locus_0114.fasta	EC_locus_0115.fasta	EC_locus_0116.fasta	EC_locus_0117.fasta	EC_locus_0118.fasta	EC_locus_0119.fasta	EC_locus_0120.fasta	EC_locus_0121.fasta	EC_locus_0122.fasta	EC_locus_0123.fasta	EC_locus_0124.fasta	EC_locus_0125.fasta	EC_locus_0126.fasta	EC_locus_0127.fasta	EC_locus_0128.fasta	EC_locus_0129.fasta	EC_locus_0130.fasta	EC_locus_0131.fasta	EC_locus_0132.fasta	EC_locus_0133.fasta	EC_locus_0134.fasta	EC_locus_0135.fasta	EC_locus_0136.fasta	EC_locus_0137.fasta	EC_locus_0138.fasta	EC_locus_0139.fasta	EC_locus_0140.fasta	EC_locus_0141.fasta	EC_locus_0142.fasta	EC_locus_0143.fasta	EC_locus_0144.fasta	EC_locus_0145.fasta	EC_locus_0146.fasta	EC_locus_0147.fasta	EC_locus_0148.fasta	EC_locus_0149.fasta	EC_locus_0150.fasta	EC_locus_0151.fasta	EC_locus_0152.fasta	EC_locus_0153.fasta	EC_locus_0154.fasta	EC_locus_0155.fasta	EC_locus_0156.fasta	EC_locus_0157.fasta	EC_locus_0158.fasta	EC_locus_0159.fasta	EC_locus_0160.fasta	EC_locus_0161.fasta	EC_locus_0162.fasta	EC_locus_0163.fasta	EC_locus_0164.fasta	EC_locus_0165.fasta	EC_locus_0166.fasta	EC_locus_0167.fasta	EC_locus_0168.fasta	EC_locus_0169.fasta	EC_locus_0170.fasta	EC_locus_0171.fasta	EC_locus_0172.fasta	EC_locus_0173.fasta	EC_locus_0174.fasta	EC_locus_0175.fasta	EC_locus_0176.fasta	EC_locus_0177.fasta	EC_locus_0178.fasta	EC_locus_0179.fasta	EC_locus_0180.fasta	EC_locus_0181.fasta	EC_locus_0182.fasta	EC_locus_0183.fasta	EC_locus_0184.fasta	EC_locus_0185.fasta	EC_locus_0186.fasta	EC_locus_0187.fasta	EC_locus_0188.fasta	EC_locus_0189.fasta	EC_locus_0190.fasta	EC_locus_0191.fasta	EC_locus_0192.fasta	EC_locus_0193.fasta	EC_locus_0194.fasta	EC_locus_0195.fasta	EC_locus_0196.fasta	EC_locus_0197.fasta	EC_locus_0198.fasta	EC_locus_0199.fasta	EC_locus_0200.fasta	EC_locus_0201.fasta	EC_locus_0202.fasta	EC_locus_0203.fasta	EC_locus_0204.fasta	EC_locus_0205.fasta	EC_locus_0206.fasta	EC_locus_0207.fasta	EC_locus_0208.fasta	EC_locus_0209.fasta	EC_locus_0210.fasta	EC_locus_0211.fasta	EC_locus_0212.fasta	EC_locus_0213.fasta	EC_locus_0214.fasta	EC_locus_0215.fasta	EC_locus_0216.fasta	EC_locus_0217.fasta	EC_locus_0218.fasta	EC_locus_0219.fasta	EC_locus_0220.fasta	EC_locus_0221.fasta	EC_locus_0222.fasta	EC_locus_0223.fasta	EC_locus_0224.fasta	EC_locus_0225.fasta	EC_locus_0226.fasta	EC_locus_0227.fasta	EC_locus_0228.fasta	EC_locus_0229.fasta	EC_locus_0230.fasta	EC_locus_0231.fasta	EC_locus_0232.fasta	EC_locus_0233.fasta	EC_locus_0234.fasta	EC_locus_0235.fasta	EC_locus_0236.fasta	EC_locus_0237.fasta	EC_locus_0238.fasta	EC_locus_0239.fasta	EC_locus_0240.fasta	EC_locus_0241.fasta	EC_locus_0242.fasta	EC_locus_0243.fasta	EC_locus_0244.fasta	EC_locus_0245.fasta	EC_locus_0246.fasta	EC_locus_0247.fasta	EC_locus_0248.fasta	EC_locus_0249.fasta	EC_locus_0250.fasta	EC_locus_0251.fasta	EC_locus_0252.fasta	EC_locus_0253.fasta	EC_locus_0254.fasta	EC_locus_0255.fasta	EC_locus_0256.fasta	EC_locus_0257.fasta	EC_locus_0258.fasta	EC_locus_0259.fasta	EC_locus_0260.fasta	EC_locus_0261.fasta	EC_locus_0262.fasta	EC_locus_0263.fasta	EC_locus_0264.fasta	EC_locus_0265.fasta	EC_locus_0266.fasta	EC_locus_0267.fasta	EC_locus_0268.fasta	EC_locus_0269.fasta	EC_locus_0270.fasta	EC_locus_0271.fasta	EC_locus_0272.fasta	EC_locus_0273.fasta	EC_locus_0274.fasta	EC_locus_0275.fasta	EC_locus_0276.fasta	EC_locus_0277.fasta	EC_locus_0278.fasta	EC_locus_0279.fasta	EC_locus_0280.fasta	EC_locus_0281.fasta	EC_locus_0282.fasta	EC_locus_0283.fasta	EC_locus_0284.fasta	EC_locus_0285.fasta	EC_locus_0286.fasta	EC_locus_0287.fasta	EC_locus_0288.fasta	EC_locus_0289.fasta	EC_locus_0290.fasta	EC_locus_0291.fasta	EC_locus_0292.fasta	EC_locus_0293.fasta	EC_locus_0294.fasta	EC_locus_0295.fasta	EC_locus_0296.fasta	EC_locus_0297.fasta	EC_locus_0298.fasta	EC_locus_0299.fasta	EC_locus_0300.fasta
ISO01.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	21	26	31	18	INF-185	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	31	6	33	35	LNF	12	35	2	16	12	5	36	5	3	40	17	14	29	17	LNF	24	95	16	10	39	34	31	6	27	22	26	13	8	21	18	18	3	25	88	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	LNF	20	10	10	5	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	39	36	3	4	5	20	30	1	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	16	31	33	16	12	20	10	9	4	24	62	40	31	2	40	6	55	10	33	23	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	39	5	36	19	36	36	2	40	LNF	12	27	22	25	40	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	26	40	19	11	10	36	13	40	2	7	75	20	18	20	3	38	9	22	17	6	33	31	6	40	35	29	16	24	3	31	11	25
ISO02.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	3	40	17	14	29	17	34	24	20	16	50	39	34	31	6	27	22	26	13	8	21	18	18	3	25	16	28	3	33	10	24	28	99	37	22	11	28	24	39	25	49	37	29	15	LNF	47	39	7	9	68	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	48	1	32	19	11	17	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	39	36	3	4	5	20	30	1	LNF	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	16	31	33	16	12	20	10	51	4	24	12	40	31	2	40	6	7	10	33	LNF	3	20	35	25	26	8	17	22	30	20	64	20	34	35	7	26	27	39	5	36	19	36	36	2	40	10	12	27	22	25	40	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	93	30	14	3	26	40	19	11	10	36	83	40	2	7	5	20	18	20	3	38	9	22	17	6	93	31	6	40	35	29	16	24	3	31	11	25
ISO03.fasta	11	76	35	38	14	18	9	11	34	12	10	7	26	5	21	58	84	18	25	26	7	22	12	31	13	21	79	22	12	4	7	36	9	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	3	40	92	14	29	17	34	24	20	16	10	39	34	31	99	27	22	26	LNF	8	21	18	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	INF-133	17	29	19	11	68	26	59	4	14	25	23	24	2	39	36	3	4	5	20	30	1	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	16	31	33	16	12	20	10	9	4	24	12	40	31	2	40	84	7	10	33	23	3	60	35	25	26	8	17	22	30	20	16	20	34	35	7	26	INF-185	39	5	36	19	36	36	2	40	10	12	27	22	25	40	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	26	40	19	11	74	36	13	40	77	7	5	20	18	20	3	38	9	22	17	6	33	31	6	40	35	29	16	24	3	31	11	25
ISO04.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	3	40	17	14	45	17	34	24	20	16	10	39	34	31	6	27	22	LNF	13	8	21	18	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	96	39	25	17	37	29	15	34	7	39	7	9	1	8	29	90	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	46	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	39	36	3	4	5	20	30	1	35	29	30	38	32	24	48	11	16	28	37	31	40	6	6	21	1	14	2	24	23	61	31	33	16	12	20	10	9	4	24	12	40	31	2	40	6	7	10	33	23	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	39	5	36	19	36	36	2	40	10	12	27	22	25	40	19	11	3	23	LNF	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	26	40	19	11	10	36	13	40	2	7	5	20	18	20	3	38	9	22	17	6	LNF	31	6	40	35	29	16	24	3	31	11	25
ISO05.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	87	6	33	35	18	12	35	2	16	12	61	36	5	3	40	17	14	29	17	34	24	20	16	10	39	34	31	6	27	22	26	13	8	21	18	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	16	LNF	10	10	LNF	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	39	36	3	4	5	20	30	41	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	52	31	33	16	12	20	10	9	4	24	12	LNF	31	2	40	6	7	10	33	23	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	66	27	39	5	36	19	36	36	2	40	10	LNF	27	22	25	40	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	26	40	19	11	10	36	13	40	2	7	5	20	18	20	3	38	9	22	87	6	33	31	6	40	35	LNF	16	24	3	31	11	25
ISO06.fasta	11	32	35	38	14	18	INF-168	11	34	12	10	7	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	82	75	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	3	40	17	14	29	17	34	24	20	16	10	39	34	31	6	27	22	26	13	8	21	LNF	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	42	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	39	36	3	4	5	20	30	1	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	16	31	33	16	12	20	10	9	4	24	12	40	31	2	40	6	7	10	33	23	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	39	5	36	19	36	36	2	40	10	12	27	22	LNF	LNF	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	LNF	25	29	18	18	40	13	23	23	94	12	6	30	30	14	3	26	40	19	11	47	36	13	40	2	7	5	20	18	20	3	38	9	22	17	47	33	31	6	40	35	29	16	24	3	31	11	25
ISO07.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	66	26	31	18	25	26	7	22	12	31	41	21	39	22	12	4	7	36	9	2	37	31	6	33	42	18	84	35	2	16	12	5	36	5	3	40	70	14	29	17	34	24	20	16	10	39	34	31	6	27	22	26	13	8	21	18	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	LNF	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	LNF	11	17	1	5	11	19	26	35	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	19	11	21	26	14	4	74	INF-123	23	24	2	39	36	3	4	5	20	30	1	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	14	2	24	23	16	31	33	16	12	20	10	9	4	24	12	40	31	2	40	6	7	LNF	33	74	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	39	5	36	19	36	36	2	LNF	10	12	27	75	25	40	19	11	3	73	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	45	40	13	23	23	40	12	6	30	30	14	3	44	40	19	11	10	36	13	40	2	7	5	20	18	20	3	38	9	22	17	6	33	31	6	40	35	29	16	24	3	31	11	25
ISO08.fasta	11	32	35	38	14	18	9	11	34	12	10	46	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	3	40	17	14	29	17	34	24	20	16	10	39	34	31	6	27	62	26	13	8	21	18	18	3	25	16	28	3	33	10	24	62	37	INF-133	22	11	28	24	39	25	17	37	29	15	34	7	39	7	9	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	35	19	92	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	76	11	21	26	14	4	14	25	23	24	2	39	36	3	4	93	20	30	1	35	29	30	38	32	89	18	11	16	28	37	31	40	65	6	21	1	14	2	24	23	16	31	33	16	12	97	10	9	4	24	12	40	31	2	40	6	7	10	33	23	3	83	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	87	5	36	19	36	36	2	40	10	12	27	22	25	40	19	11	3	23	5	29	29	15	20	27	31	22	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	95	40	19	11	10	36	13	40	2	7	5	20	18	20	3	38	9	22	17	6	33	31	6	40	35	29	16	LNF	3	31	11	25
ISO09.fasta	25	33	8	23	40	38	11	10	40	4	36	4	21	6	19	21	25	17	22	11	8	30	11	26	13	8	37	INF-200	3	23	27	38	LNF	3	28	29	26	28	37	34	9	29	1	16	31	10	31	18	18	11	25	34	20	25	23	16	6	40	15	12	11	10	24	40	7	25	21	24	5	20	87	30	4	20	39	31	37	8	21	34	39	25	7	6	1	35	3	20	29	32	17	12	15	14	30	10	24	13	10	38	20	96	14	25	29	29	14	29	40	33	25	21	21	3	21	23	26	13	11	24	23	21	20	14	32	25	19	12	27	40	40	6	28	1	27	7	33	36	18	29	27	10	12	12	33	7	24	11	7	38	22	86	23	21	15	23	38	26	32	5	9	27	14	33	39	8	7	17	6	20	12	19	27	20	13	31	34	4	27	4	5	19	35	28	9	17	29	7	29	40	7	3	37	35	26	15	15	25	INF-103	16	34	39	31	28	16	8	27	24	13	37	20	16	20	23	16	LNF	40	9	34	18	22	18	6	31	12	18	10	31	39	15	27	21	4	13	40	34	38	5	3	17	92	26	4	26	34	40	40	9	82	11	8	36	23	8	5	5	64	68	13	20	40	28	23	5	28	13	4	13	2	18	5	17	28	35	33	28	2	13	10	28	5	32	37	39	33	17	21	35	4	7	37	32	4	35	3	19	8	47	11	10
ISO10.fasta	25	33	8	23	40	38	11	99	40	4	36	4	21	6	19	21	25	17	22	11	8	30	11	26	13	8	37	32	3	23	27	38	21	3	28	29	26	28	37	34	9	29	1	16	31	10	93	18	18	LNF	25	34	20	25	23	16	6	40	15	12	11	LNF	24	40	7	25	21	24	5	20	4	30	4	20	39	31	37	8	21	34	39	25	7	6	1	35	3	20	29	32	17	12	15	14	30	10	24	13	10	38	20	7	14	25	29	29	14	29	40	33	25	21	21	3	21	23	26	13	11	24	23	21	20	14	32	25	69	12	27	40	40	6	28	1	27	7	33	36	18	29	27	10	12	12	33	7	24	11	7	38	22	38	23	21	15	52	38	26	32	5	9	27	14	33	INF-107	8	7	17	6	20	73	19	27	20	13	31	34	4	27	4	5	19	35	28	9	17	29	7	29	40	7	3	LNF	35	26	15	81	25	16	16	34	39	31	28	16	8	27	24	13	37	20	16	20	23	16	22	40	9	34	18	22	18	6	31	12	18	10	31	39	15	27	21	4	13	40	34	38	5	3	17	20	26	97	26	34	40	40	9	22	11	8	36	23	8	5	5	18	36	13	20	40	28	23	5	28	13	4	13	2	18	5	17	28	35	67	28	2	13	10	28	5	32	37	39	33	17	21	35	4	7	37	32	4	35	3	19	8	40	11	10
