Genome	Taxon	Complete	Translation table	# Sequences	Size	GC	N ratio	N50	Coding ratio	tRNA	tmRNA	rRNA	ncRNA	ncRNA region	CRISPR	CDS	CDS hypothetical	CDS pseudogene	sORF	GAP	oriC	oriV	oriT
ISO01	Escherichia coli	False	11	100	5035888	0.506	0	150000	0.87	85	1	6	70	30	2	4663	110	25	5	0	1	0	0
ISO02	Escherichia coli	False	11	100	5241436	0.506	0	150000	0.87	81	1	6	70	30	0	4853	110	25	5	0	1	0	0
ISO03	Escherichia coli	False	11	100	5102701	0.506	0	150000	0.87	83	1	5	70	30	2	4725	110	25	5	0	1	0	0
ISO04	Escherichia coli	False	11	100	4995886	0.506	0	150000	0.87	82	1	8	70	30	2	4626	110	25	5	0	1	0	0
ISO05	Escherichia coli	False	11	100	5187168	0.506	0	150000	0.87	81	1	7	70	30	0	4803	110	25	5	0	1	0	0
ISO06	Escherichia coli	False	11	100	5163874	0.506	0	150000	0.87	84	1	8	70	30	0	4781	110	25	5	0	1	0	0
ISO07	Escherichia coli	False	11	100	5141372	0.506	0	150000	0.87	82	1	5	70	30	2	4761	110	25	5	0	1	0	0
ISO08	Escherichia coli	False	11	100	5175830	0.506	0	150000	0.87	83	1	6	70	30	2	4792	110	25	5	0	1	0	0
ISO09	Escherichia coli	False	11	100	5092689	0.506	0	150000	0.87	82	1	7	70	30	1	4715	110	25	5	0	1	0	0
ISO10	Escherichia coli	False	11	100	4993699	0.506	0	150000	0.87	79	1	7	70	30	0	4624	110	25	5	0	1	0	0
ISO11	Escherichia coli	False	11	100	5172088	0.506	0	150000	0.87	79	1	6	70	30	0	4789	110	25	5	0	1	0	0
ISO12	Escherichia coli	False	11	100	4988905	0.506	0	150000	0.87	88	1	8	70	30	2	4619	110	25	5	0	1	0	0
ISO13	Escherichia coli	False	11	100	5147238	0.506	0	150000	0.87	81	1	7	70	30	1	4766	110	25	5	0	1	0	0
ISO14	Escherichia coli	False	11	100	4767110	0.506	0	150000	0.87	79	1	6	70	30	2	4414	110	25	5	0	1	0	0
ISO15	Escherichia coli	False	11	100	4710617	0.506	0	150000	0.87	87	1	7	70	30	2	4362	110	25	5	0	1	0	0
ISO16	Escherichia coli	False	11	100	4779945	0.506	0	150000	0.87	80	1	6	70	30	0	4426	110	25	5	0	1	0	0
ISO17	Escherichia coli	False	11	100	4707910	0.506	0	150000	0.87	88	1	7	70	30	2	4359	110	25	5	0	1	0	0
ISO18	Escherichia coli	False	11	100	4692792	0.506	0	150000	0.87	82	1	6	70	30	1	4345	110	25	5	0	1	0	0
ISO19	Escherichia coli	False	11	100	5013865	0.506	0	150000	0.87	88	1	8	70	30	2	4642	110	25	5	0	1	0	0
ISO20	Escherichia coli	False	11	100	4960333	0.506	0	150000	0.87	80	1	7	70	30	0	4593	110	25	5	0	1	0	0
