Sample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method
ISO01	ISO01_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO01	ISO01_2	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO01	ISO01_3	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO01	ISO01_4	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO01	ISO01_5	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO02	ISO02_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO02	ISO02_2	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO02	ISO02_3	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO02	ISO02_4	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO02	ISO02_5	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO02	ISO02_6	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO02	ISO02_7	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO03	ISO03_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO03	ISO03_2	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO03	ISO03_3	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO03	ISO03_4	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO03	ISO03_5	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO03	ISO03_6	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO03	ISO03_7	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO04	ISO04_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO04	ISO04_2	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO04	ISO04_3	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO04	ISO04_4	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO04	ISO04_5	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO04	ISO04_6	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO05	ISO05_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO05	ISO05_2	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
