bin_id	target	value	error	units	is_novel	warning
S1.metabat2.1	ph_optimum	34.818	0.555	unit	False	None
S1.metabat2.1	ph_min	20.498	0.421	unit	False	None
S1.metabat2.1	ph_max	10.526	0.068	unit	False	None
S1.metabat2.1	salinity_optimum	20.481	0.561	unit	False	None
S1.metabat2.1	temperature_optimum	38.871	0.071	unit	False	None
S1.metabat2.1	oxygen	tolerant	0.211	unit	False	None
S1.semibin.2	ph_optimum	13.836	0.55	unit	False	None
S1.semibin.2	ph_min	14.089	0.482	unit	False	None
S1.semibin.2	ph_max	23.971	0.159	unit	False	None
S1.semibin.2	salinity_optimum	27.746	0.15	unit	False	None
S1.semibin.2	temperature_optimum	16.775	0.499	unit	False	None
S1.semibin.2	oxygen	not tolerant	0.941	unit	False	None
S2.metabat2.1	ph_optimum	20.796	0.334	unit	False	None
S2.metabat2.1	ph_min	34.356	0.188	unit	False	None
S2.metabat2.1	ph_max	25.112	0.27	unit	False	None
S2.metabat2.1	salinity_optimum	17.367	0.531	unit	False	None
S2.metabat2.1	temperature_optimum	24.16	0.021	unit	False	None
S2.metabat2.1	oxygen	tolerant	0.799	unit	False	None
S10.vamb.3	ph_optimum	None	0.11	unit	False	None
S10.vamb.3	ph_min	None	0.54	unit	False	None
S10.vamb.3	ph_max	None	0.571	unit	False	None
S10.vamb.3	salinity_optimum	None	0.619	unit	False	None
S10.vamb.3	temperature_optimum	None	0.715	unit	False	None
S10.vamb.3	oxygen	not tolerant	0.123	unit	False	None
S11.metabat2.4	ph_optimum	15.747	0.311	unit	False	None
S11.metabat2.4	ph_min	11.491	0.946	unit	False	None
S11.metabat2.4	ph_max	6.692	0.5	unit	False	None
S11.metabat2.4	salinity_optimum	13.599	0.135	unit	False	None
S11.metabat2.4	temperature_optimum	17.289	0.869	unit	False	None
S11.metabat2.4	oxygen	not tolerant	0.205	unit	False	None
S12.rosella.5	ph_optimum	15.643	0.925	unit	False	None
S12.rosella.5	ph_min	5.614	0.887	unit	False	None
S12.rosella.5	ph_max	39.879	0.136	unit	False	None
S12.rosella.5	salinity_optimum	33.154	0.785	unit	False	None
S12.rosella.5	temperature_optimum	8.03	0.453	unit	False	None
S12.rosella.5	oxygen	not tolerant	0.136	unit	False	None
