Sample_ID	GBbp	Raw_count	Covered_fraction	Mean_coverage	Read_count	Read_count_percent
ISO01	0.62	3034248	0.995	159.7	1507604	98
ISO02	0.49	2391414	0.986	58.4	3184104	97.5
ISO03	0.617	2985392	0.993	131.8	2145121	98.8
ISO04	0.83	3572640	0.993	115.5	3574789	96.3
ISO05	0.892	3368264	0.992	133.3	3500142	96.2
ISO06	0.514	2685331	0.991	83.1	1701285	98.9
ISO07	0.83	3935008	0.995	59.3	3023433	96.4
ISO08	0.776	2911072	0.989	94.8	2764848	96.5
ISO09	0.654	3725561	0.989	58.4	2189237	95.1
ISO10	0.867	2248007	0.992	146.9	3249356	97.2
ISO11	0.662	2629259	0.991	129.9	1724478	94.2
ISO12	0.489	2248589	0.991	63.1	2960987	95.3
ISO13	0.367	3267565	0.995	53.9	1598973	98.6
ISO14	0.407	3885918	0.994	152.6	3122153	94.4
ISO15	0.83	3408395	0.992	55.6	2051157	98.4
ISO16	0.833	3714600	0.992	98.2	2862519	94
ISO17	0.857	2058935	0.996	94.4	2568330	96.9
ISO18	0.833	3225126	0.992	104.5	1569727	98
ISO19	0.363	3327757	0.996	72.4	2341889	96.3
ISO20	0.87	2258567	0.985	69.3	3052842	94.8
