Gene,Non-unique Gene name,Annotation,ISO01,ISO02,ISO03,ISO04,ISO05,ISO06,ISO07,ISO08,ISO09,ISO10,ISO11,ISO12,ISO13,ISO14,ISO15,ISO16,ISO17,ISO18,ISO19,ISO20,GCF_000005845.2,GCF_000010485.1
core_001,,conserved protein,ISO01_0001,ISO02_0001,ISO03_0001,ISO04_0001,ISO05_0001,ISO06_0001,ISO07_0001,ISO08_0001,ISO09_0001,ISO10_0001,ISO11_0001,ISO12_0001,ISO13_0001,ISO14_0001,ISO15_0001,ISO16_0001,ISO17_0001,ISO18_0001,ISO19_0001,ISO20_0001,GCF_000005845.2_0001,GCF_000010485.1_0001
core_002,,conserved protein,ISO01_0002,ISO02_0002,ISO03_0002,ISO04_0002,ISO05_0002,ISO06_0002,ISO07_0002,ISO08_0002,ISO09_0002,ISO10_0002,ISO11_0002,ISO12_0002,ISO13_0002,ISO14_0002,ISO15_0002,ISO16_0002,ISO17_0002,ISO18_0002,ISO19_0002,ISO20_0002,GCF_000005845.2_0002,GCF_000010485.1_0002
core_003,,conserved protein,ISO01_0003,ISO02_0003,ISO03_0003,ISO04_0003,ISO05_0003,ISO06_0003,ISO07_0003,ISO08_0003,ISO09_0003,ISO10_0003,ISO11_0003,ISO12_0003,ISO13_0003,ISO14_0003,ISO15_0003,ISO16_0003,ISO17_0003,ISO18_0003,ISO19_0003,ISO20_0003,GCF_000005845.2_0003,GCF_000010485.1_0003
core_004,,conserved protein,ISO01_0004,ISO02_0004,ISO03_0004,ISO04_0004,ISO05_0004,ISO06_0004,ISO07_0004,ISO08_0004,ISO09_0004,ISO10_0004,ISO11_0004,ISO12_0004,ISO13_0004,ISO14_0004,ISO15_0004,ISO16_0004,ISO17_0004,ISO18_0004,ISO19_0004,ISO20_0004,GCF_000005845.2_0004,GCF_000010485.1_0004
core_005,,conserved protein,ISO01_0005,ISO02_0005,ISO03_0005,ISO04_0005,ISO05_0005,ISO06_0005,ISO07_0005,ISO08_0005,ISO09_0005,ISO10_0005,ISO11_0005,ISO12_0005,ISO13_0005,ISO14_0005,ISO15_0005,ISO16_0005,ISO17_0005,ISO18_0005,ISO19_0005,ISO20_0005,GCF_000005845.2_0005,GCF_000010485.1_0005
core_006,,conserved protein,ISO01_0006,ISO02_0006,ISO03_0006,ISO04_0006,ISO05_0006,ISO06_0006,ISO07_0006,ISO08_0006,ISO09_0006,ISO10_0006,ISO11_0006,ISO12_0006,ISO13_0006,ISO14_0006,ISO15_0006,ISO16_0006,ISO17_0006,ISO18_0006,ISO19_0006,ISO20_0006,GCF_000005845.2_0006,GCF_000010485.1_0006
core_007,,conserved protein,ISO01_0007,ISO02_0007,ISO03_0007,ISO04_0007,ISO05_0007,ISO06_0007,ISO07_0007,ISO08_0007,ISO09_0007,,ISO11_0007,ISO12_0007,ISO13_0007,ISO14_0007,ISO15_0007,ISO16_0007,ISO17_0007,ISO18_0007,ISO19_0007,ISO20_0007,GCF_000005845.2_0007,GCF_000010485.1_0007
core_008,,conserved protein,ISO01_0008,ISO02_0008,ISO03_0008,ISO04_0008,ISO05_0008,ISO06_0008,ISO07_0008,ISO08_0008,ISO09_0008,ISO10_0008,ISO11_0008,ISO12_0008,ISO13_0008,ISO14_0008,ISO15_0008,ISO16_0008,ISO17_0008,ISO18_0008,ISO19_0008,ISO20_0008,GCF_000005845.2_0008,GCF_000010485.1_0008
core_009,,conserved protein,ISO01_0009,ISO02_0009,ISO03_0009,ISO04_0009,ISO05_0009,ISO06_0009,ISO07_0009,ISO08_0009,ISO09_0009,ISO10_0009,ISO11_0009,ISO12_0009,ISO13_0009,ISO14_0009,ISO15_0009,ISO16_0009,ISO17_0009,ISO18_0009,ISO19_0009,ISO20_0009,GCF_000005845.2_0009,GCF_000010485.1_0009
core_010,,conserved protein,ISO01_0010,ISO02_0010,ISO03_0010,ISO04_0010,ISO05_0010,ISO06_0010,ISO07_0010,ISO08_0010,ISO09_0010,ISO10_0010,ISO11_0010,ISO12_0010,ISO13_0010,ISO14_0010,ISO15_0010,ISO16_0010,ISO17_0010,ISO18_0010,ISO19_0010,ISO20_0010,GCF_000005845.2_0010,GCF_000010485.1_0010
