Gene_ID	S1	S2	S3	S10	S11	S12
S1___NODE_1_length_1000_cov_2.0_1	0.2877	0.73	1.8963	0.1569	0.6998	1.022
S1___NODE_2_length_1000_cov_2.0_1	0.1652	0.5558	1.2685	0.6172	0.0349	1.0475
S1___NODE_3_length_1000_cov_2.0_1	0.2317	0.7348	0.001	0.088	0.5189	1.5362
S1___NODE_4_length_1000_cov_2.0_1	0.1996	1.2556	0.3403	0.2989	0.2722	0.1298
S1___NODE_5_length_1000_cov_2.0_1	2.5312	0.0858	1.1066	0.3807	2.0178	0.4251
S2___NODE_6_length_1000_cov_2.0_1	0.9813	2.2373	1.7703	2.798	3e-04	2.4392
S2___NODE_7_length_1000_cov_2.0_1	0.5165	0.9288	0.5718	0.1847	3.5724	0.4293
S2___NODE_8_length_1000_cov_2.0_1	2.75	0.0283	1.7863	0.1588	3.8612	0.9491
S2___NODE_9_length_1000_cov_2.0_1	0.4206	0.0298	1.4439	0.2935	1.8337	2.478
S2___NODE_10_length_1000_cov_2.0_1	0.0752	0.091	0.312	0.6956	2.0526	0.0407
S3___NODE_11_length_1000_cov_2.0_1	3.1754	0.7513	1.42	0.0623	1.3769	0.388
S3___NODE_12_length_1000_cov_2.0_1	0.8873	3.5184	0.9817	0.0486	0.9126	0.835
S3___NODE_13_length_1000_cov_2.0_1	0.1994	1.3495	1.8526	1.8832	0.6674	0.3553
S3___NODE_14_length_1000_cov_2.0_1	0.6371	1.4554	0.5183	0.0365	1.2517	0.7626
S3___NODE_15_length_1000_cov_2.0_1	2.6448	0.3003	0.9137	1.7825	0.7292	0.9095
S10___NODE_16_length_1000_cov_2.0_1	0.0597	0.2513	1.7117	0.1251	0.8891	0.2324
S10___NODE_17_length_1000_cov_2.0_1	0.3638	0.8968	2.8225	0.5185	0.5529	1.7749
S10___NODE_18_length_1000_cov_2.0_1	1.7265	0.7921	1.4783	0.3339	0.9086	0.8923
S10___NODE_19_length_1000_cov_2.0_1	0.3821	0.3316	1.8034	1.608	0.0311	0.7505
S10___NODE_20_length_1000_cov_2.0_1	2.289	3.0477	0.0391	0.1381	0.8068	1.2712
S11___NODE_21_length_1000_cov_2.0_1	3.9185	0.3186	0.6222	1.4864	1.0237	2.61
S11___NODE_22_length_1000_cov_2.0_1	0.0265	1.3226	2.4782	2.1438	0.0493	1.453
S11___NODE_23_length_1000_cov_2.0_1	0.2615	0.9208	1.5589	0.8014	0.3705	1.5763
S11___NODE_24_length_1000_cov_2.0_1	1.3682	0.7136	0.1044	0.5357	1.1003	1.1923
S11___NODE_25_length_1000_cov_2.0_1	0.0749	0.3451	0.5371	2.0317	0.6793	1.2121
S12___NODE_26_length_1000_cov_2.0_1	0.753	0.2723	1.598	3.3148	0.0737	1.0208
S12___NODE_27_length_1000_cov_2.0_1	2.4279	2.3443	1.0315	3.0147	0.9176	0.6483
S12___NODE_28_length_1000_cov_2.0_1	1.2368	0.6568	1.6218	0.8314	1.4906	1.4476
S12___NODE_29_length_1000_cov_2.0_1	2.1806	2.2457	0.7586	1.0884	0.3951	2.1647
S12___NODE_30_length_1000_cov_2.0_1	1.609	2.3016	1.0962	0.4749	0.7496	0.032
